disease_name,pathogenesis,prognosis
Lyme Disease,infectious_bacterial,full_recovery||chronic_condition
Opiate Dependency,toxic,variable
Duchenne muscular dystrophy,genetic_mutation||degenerative,high_mortality||progressive||quality_of_life_impairment
Vaccine-Induced Immune Thrombotic Thrombocytopenia (VITT),iatrogenic||vascular,high_mortality||disability
Allergic Reactions,allergic,
Poison Oak Rash,allergic||toxic,
Postpartum Depression and Anxiety,,
Acute Appendicitis,,
Influenza,infectious_viral||inflammatory,
Diabetes Mellitus,metabolic_disorder||endocrine_disorder,chronic_condition||quality_of_life_impairment||life_threatening
Irritable Bowel Syndrome,idiopathic||inflammatory||other,chronic_condition||quality_of_life_impairment||variable
Low Back Pain,degenerative||inflammatory||traumatic||infectious_bacterial||neoplastic||idiopathic||other,full_recovery||partial_recovery||chronic_condition||disability||variable
Acne,infectious_bacterial||inflammatory,
Periodontal Disease,infectious_bacterial||inflammatory,
Panic Disorder,,
Trigeminal Neuralgia,idiopathic||degenerative||vascular||traumatic||infectious_viral||neoplastic||other,chronic_condition||progressive||remission_possible||quality_of_life_impairment||variable||unknown
Irregular Heart Rhythm,iatrogenic,high_mortality
Chronic Fatigue Syndrome||myalgic encephalomyelitis,psychiatric||infectious_viral||idiopathic,chronic_condition||quality_of_life_impairment
Anxiety Disorders,,
Fibromyalgia,neurological_disorder||metabolic_disorder,chronic_condition||quality_of_life_impairment
Idiopathic Intracranial Hypertension,idiopathic,partial_recovery||variable
Absence Seizures,,
Situational Anxiety,other,
Immune Reconstitution Syndrome (IRS),inflammatory||infectious_bacterial||infectious_viral||infectious_fungal||iatrogenic,variable||significant morbidity||occasional mortality
Heart Failure,degenerative||vascular||other,variable||chronic_condition
COVID-19,,
Stomach Cancer,neoplastic,
Plaque Psoriasis,inflammatory,
Tuberculosis,infectious_bacterial||inflammatory,
Parasitic Infections (Tapeworm),infectious_parasitic,
Systemic Lupus Erythematosus||SLE,autoimmune||inflammatory,chronic_condition||disability||quality_of_life_impairment||variable
Metastatic Colorectal Cancer||mCRC,,
Acute Bacterial Prostatitis,infectious_bacterial||inflammatory,
Secondary Peritonitis,inflammatory,high_mortality
Opioid Use Disorder,,
Essential Hypertension,,stable
Huntington's disease||Huntington's Chorea,genetic_mutation||degenerative,incurable||progressive||quality_of_life_impairment
Heart Murmur,,
Charcot Neuropathic Osteoarthropathy,metabolic_disorder||inflammatory||degenerative||traumatic||vascular||idiopathic,high_mortality||disability||progressive||quality_of_life_impairment||variable
HIV-1 Infection,infectious_viral,
Celiac Disease,genetic_mutation||autoimmune,
Rabies,infectious_viral||inflammatory,high_mortality||severe neurological complications
Human African Trypanosomiasis (Sleeping Sickness),infectious_parasitic,progressive||high_mortality
Diabetic Peripheral Neuropathy,metabolic_disorder||vascular,chronic_condition
Crohn's disease,inflammatory,chronic_condition||remission_possible
Osteoarthritis,,
Advanced Breast Cancer,,
Alzheimer's Disease,degenerative,chronic_condition||progressive||quality_of_life_impairment
Cancer,neoplastic,high_mortality
Sinus Migraine,inflammatory||idiopathic||other,
Major Depressive Disorder,other,high_recurrence_risk
Peripheral Arterial Disease||Atherosclerotic Peripheral Arterial Disease||Arm Artery Disease||Circulation Problems||Leg Artery Disease,vascular||degenerative,chronic_condition||disability||quality_of_life_impairment||progressive
Cystoid Macular Edema,inflammatory||autoimmune||vascular,chronic_condition||remission_possible||high_recurrence_risk||quality_of_life_impairment||variable
Preeclampsia,vascular||inflammatory||idiopathic,variable||high_mortality
Acute Intermittent Porphyria,genetic_mutation||metabolic_disorder,variable||full_recovery||high_recurrence_risk||asymptomatic
Psoriatic Arthritis||PsA,autoimmune||inflammatory,chronic_condition||quality_of_life_impairment||variable
Bell's palsy,infectious_viral||inflammatory||idiopathic,full_recovery||partial_recovery||variable
Sarcopenia,degenerative||nutritional_deficiency||endocrine_disorder||inflammatory,partial_recovery||chronic_condition||progressive||quality_of_life_impairment||variable
Advanced Non-Small Cell Lung Cancer||advanced non-small–cell lung cancers||NSCLC||non-small cell lung cancer||non-squamous NSCLCs||squamous NSCLCs,neoplastic||inflammatory,high_mortality||variable||progressive||quality_of_life_impairment
Peritonitis,infectious_bacterial||inflammatory,
Atrial Fibrillation,vascular,disability||high_mortality||quality_of_life_impairment
Primary Biliary Cholangitis,,
Drug Resistant Tuberculosis (DR TB),infectious_bacterial,full_recovery||high_mortality
Sinus Infection,,
Premenstrual Syndrome,,
Hypertension,vascular,
Gut Microbiome Imbalance,iatrogenic||infectious_bacterial||nutritional_deficiency||other,full_recovery||chronic_condition
Benign Prostatic Hypertrophy (BPH),,
Leptospirosis,infectious_bacterial,variable
