id,disease_name,disease_type,prognosis
disease_67,Huntington's disease||Huntington's Chorea,genetic||degenerative||psychiatric,incurable||progressive||quality_of_life_impairment
disease_68,Heart Murmur,,
disease_69,Charcot Neuropathic Osteoarthropathy,metabolic||degenerative||inflammatory||traumatic||vascular||idiopathic,high_mortality||disability||progressive||quality_of_life_impairment||variable
disease_70,HIV-1 Infection,infectious,
disease_71,Celiac Disease,genetic||autoimmune,
disease_72,Rabies,infectious||inflammatory,high_mortality||severe neurological complications
disease_73,Human African Trypanosomiasis (Sleeping Sickness),infectious||parasitic,progressive||high_mortality
disease_74,Diabetic Peripheral Neuropathy,metabolic||vascular,chronic_condition
disease_75,Crohn's disease,inflammatory,chronic_condition||remission_possible
disease_76,Osteoarthritis,,
disease_77,Advanced Breast Cancer,neoplastic,
disease_78,Alzheimer's Disease,degenerative,chronic_condition||progressive||quality_of_life_impairment
disease_79,Cancer,neoplastic,high_mortality
disease_80,Sinus Migraine,inflammatory||idiopathic||others,
disease_81,Major Depressive Disorder,psychiatric,high_recurrence_risk
disease_82,Peripheral Arterial Disease||Atherosclerotic Peripheral Arterial Disease||Arm Artery Disease||Circulation Problems||Leg Artery Disease,vascular||degenerative,chronic_condition||disability||quality_of_life_impairment||progressive
disease_83,Cystoid Macular Edema,inflammatory,chronic_condition||remission_possible||high_recurrence_risk||quality_of_life_impairment||variable
disease_84,Preeclampsia,vascular||inflammatory||idiopathic,variable||high_mortality
disease_85,Acute Intermittent Porphyria,genetic||metabolic,variable||full_recovery||high_recurrence_risk||asymptomatic
disease_86,Psoriatic Arthritis||PsA,autoimmune||inflammatory,chronic_condition||quality_of_life_impairment||variable
disease_87,Bell's palsy,idiopathic||inflammatory||infectious_viral,full_recovery||partial_recovery||variable
disease_88,Sarcopenia,degenerative||nutritional||endocrine||inflammatory,partial_recovery||chronic_condition||progressive||quality_of_life_impairment||variable
disease_89,Advanced Non-Small Cell Lung Cancer||advanced non-small–cell lung cancers||NSCLC||non-small cell lung cancer||non-squamous NSCLCs||squamous NSCLCs,neoplastic||inflammatory,high_mortality||variable||progressive||quality_of_life_impairment
disease_90,Peritonitis,infectious||inflammatory,
disease_91,Atrial Fibrillation,vascular||degenerative,disability||high_mortality||quality_of_life_impairment
disease_92,Primary Biliary Cholangitis,,
disease_93,Drug Resistant Tuberculosis (DR TB),infectious,full_recovery||high_mortality
disease_94,Sinus Infection,,
disease_95,Premenstrual Syndrome,,
disease_96,Hypertension,vascular,
disease_97,Gut Microbiome Imbalance,iatrogenic||infectious||nutritional||others,full_recovery||chronic_condition
disease_98,Benign Prostatic Hypertrophy (BPH),,
disease_99,Leptospirosis,infectious,variable
