id,disease_name,disease_type,diagnostic_methods,common_symptoms,treatments,prognosis
disease_17,Cystic Fibrosis,genetic,,,,
disease_18,Antibiotic-associated diarrhea,iatrogenic||infectious,,loose bowel motion||diarrhea,dietary_intervention,
disease_19,Hemophilia B,genetic,,chronic pain||acute pain||bleeding||joint bleeds||mobility problems||pain/discomfort||anxiety||depression,injection,chronic_condition||quality_of_life_impairment
disease_20,Attention-Deficit Hyperactivity Disorder,psychiatric,clinical_evaluation,behavioral issues||developmental delay||learning disabilities||mood disorder||irritability,oral_medication||psychotherapy||lifestyle_modification,chronic_condition||quality_of_life_impairment||variable
disease_21,Microcytic Anemia,genetic||congenital||nutritional||inflammatory||toxic||others,laboratory_test,pale skin||pale color inside the eyelids||pale color under the nails||weakness||tiredness||irritability||shortness of breath||rapid heart rate||pica,oral_medication||injection||surgery||dietary_intervention||others,full_recovery||partial_recovery||chronic_condition||variable
disease_22,Birth Control Heart Attack,vascular||iatrogenic,clinical_evaluation||laboratory_test||imaging,chest pain||chest pressure||chest squeezing||arm pain||jaw pain||neck pain||stomach pain||fatigue,surgery||drug_therapy||lifestyle_modification||others,high_mortality||quality_of_life_impairment||variable
disease_23,Urinary Tract Infection,infectious||inflammatory,laboratory_test,inability to urinate||straining while trying to urinate||cloudy urine||bloody urine||excessive licking of the genital area||back pain||vomiting,oral_medication,
disease_24,Prostate Cancer,neoplastic,laboratory_test||screening||clinical_evaluation||imaging,urinary_obstruction||enlarged_prostate,surgery||hormone_therapy||chemotherapy,high_mortality||progressive||quality_of_life_impairment
disease_25,Gastroesophageal Reflux Disease||GERD,inflammatory,clinical_evaluation||endoscopy||functional_test,heartburn||chest pain||chronic hoarseness||chronic cough||regurgitation,oral_medication||lifestyle_modification||surgery,chronic_condition||high_recurrence_risk||quality_of_life_impairment
disease_26,Thoracic Outlet Syndrome,traumatic||vascular||congenital||others,clinical_evaluation,muscle wasting in the hands||numbness and tingling in the arms and fingers||aches and pains in the shoulder area||arm pain and swelling||weakening grip and arm strength,physical_therapy||oral_medication||surgery,chronic_condition
disease_27,Onchocerciasis,infectious||parasitic,,skin itching||vision impairment,oral_medication,
disease_28,Depression,psychiatric,,,,
disease_29,Opioid Addiction,,,,oral_medication,
disease_30,Ear Infections,infectious||inflammatory,,pain||fussiness||reduced appetite||picking at ears,oral_medication||lifestyle_modification||others,high_recurrence_risk||full_recovery
disease_31,Lyme Disease,infectious,,,oral_medication,full_recovery||chronic_condition
disease_32,Opiate Dependency,psychiatric||toxic,,dependence,oral_medication||others,variable
disease_33,Duchenne muscular dystrophy,genetic||degenerative,,muscle degeneration||muscle weakness||difficulty in walking||difficulty in breathing,injection||oral_medication,high_mortality||progressive||quality_of_life_impairment
disease_34,Vaccine-Induced Immune Thrombotic Thrombocytopenia (VITT),iatrogenic||vascular,clinical_evaluation||imaging,neck pain||headaches||bruising,,high_mortality||disability
disease_35,Allergic Reactions,allergic,,sneezing||runny nose||itchy eyes||skin rashes||redness of the eyes,oral_medication,
disease_36,Poison Oak Rash,allergic||toxic,,itch||blisters||rash,oral_medication||others,
disease_37,Postpartum Depression and Anxiety,psychiatric,,excessive worry||fear||extreme sleep deprivation||difficulty sleeping||anger||frustration,psychotherapy,
disease_38,Acute Appendicitis,inflammatory,clinical_evaluation||imaging,abdominal pain||palpable mass||obstruction||distension,surgery,
disease_39,Influenza,infectious||inflammatory,clinical_evaluation,fever||difficulty breathing||vomiting||dehydration||dry lips||sunken eyes||listless||not eating,vaccination||oral_medication,
disease_40,Diabetes Mellitus,metabolic||endocrine,laboratory_test,polyuria||polydipsia||weight loss||increased appetite||decreased appetite||cloudy eyes||chronic infections||recurring infections,injection||laboratory_test||dietary_intervention||lifestyle_modification,chronic_condition||quality_of_life_impairment||life_threatening
disease_41,Irritable Bowel Syndrome,idiopathic||inflammatory||psychiatric||others,clinical_evaluation,nausea||abdominal pain||cramping||gas||bloating||constipation||diarrhea||weight loss||rectal bleeding,oral_medication||lifestyle_modification||dietary_intervention||others,chronic_condition||quality_of_life_impairment||variable
disease_42,Low Back Pain,degenerative||traumatic||inflammatory||infectious||neoplastic||idiopathic||others,clinical_evaluation||imaging,lower_back_pain||tenderness||diffuse_pain||coordination_impairment||bladder_control_loss||bowel_control_loss||sleep_disturbance,oral_medication||physical_therapy||lifestyle_modification||surgery||injection||dietary_intervention,full_recovery||partial_recovery||chronic_condition||disability||variable
disease_43,Acne,infectious||inflammatory,,,oral_medication||lifestyle_modification,
disease_44,Periodontal Disease,infectious||inflammatory,clinical_evaluation||imaging,bleeding from the gums||bone loss||excessive tooth mobility||gum recession||exudate pus||clear fluid along or under the gumline,surgery||oral_medication,
disease_45,Panic Disorder,psychiatric,,recurrent panic attacks||severe anxiety||rapid heart rate||difficulty breathing||heart races||palms get sweaty||can't breathe||lightheaded||intense fear of dying,,
disease_46,Trigeminal Neuralgia,idiopathic||degenerative||vascular||traumatic||infectious||neoplastic||others,clinical_evaluation||imaging,"unilateral facial pain||paroxysmal pain||sudden severe pain||sharp pain||stabbing pain||burning pain||shooting pain||electric shock-like pain||pain triggered by touch, eating, washing, shaving, brushing teeth, or talking||pain intensifies over time||pain spreads to larger areas of the face||background dull aching pain||continuous pain||wincing",oral_medication||surgery||physical_therapy||psychotherapy||others,chronic_condition||progressive||remission_possible||quality_of_life_impairment||variable||unknown
disease_47,Irregular Heart Rhythm,vascular||iatrogenic,clinical_evaluation||functional_test,irregular heartbeat||shortness of breath||dizziness||fainting,,high_mortality
disease_48,Chronic Fatigue Syndrome||myalgic encephalomyelitis,psychiatric||infectious_viral||idiopathic,clinical_evaluation,fatigue||physical functioning impairment,psychotherapy||physical_therapy||lifestyle_modification,chronic_condition||quality_of_life_impairment
disease_49,Anxiety Disorders,psychiatric,clinical_evaluation,headache||irrational fear||nervousness||nausea||vomiting||panic attacks||fear||excessive worry||sweating,oral_medication||psychotherapy||lifestyle_modification||dietary_intervention||regular_exercise||relaxation_techniques||meditation,
disease_50,Fibromyalgia,neurological||metabolic||chronic,,chronic fatigue||joint stiffness||insomnia||overall weakness||digestive trouble||headache||anxiety||fibro fog,oral_medication||lifestyle_modification||others,chronic_condition||quality_of_life_impairment
disease_51,Idiopathic Intracranial Hypertension,idiopathic,clinical_evaluation||imaging||laboratory_test||functional_test,blurred vision||papilloedema||macular oedema||visual field abnormality,oral_medication,partial_recovery||variable
disease_52,Absence Seizures,,,missing time||falls,,
disease_53,Situational Anxiety,psychiatric,,fast heart rate||shaky voice||shaky hands||sweating||dizziness||racing heart,oral_medication,
disease_54,Immune Reconstitution Syndrome (IRS),infectious||inflammatory||iatrogenic,clinical_evaluation||laboratory_test,fever||dyspnea||abdominal pain||diarrhea||headache||weakness||lymphadenitis||subcutaneous nodules||abnormal skin lesions,oral_medication||injection,variable||significant morbidity||occasional mortality
disease_55,Heart Failure,degenerative||vascular||others,clinical_evaluation||imaging,collapse||coughing||shallow rapid breathing||swelling||weakness||weight loss||heart murmur||rapid heart rate||throbbing of the jugular veins||swelling along the surface of the abdomen,oral_medication||surgery,variable||chronic_condition
disease_56,COVID-19,infectious,,,oral_medication,
disease_57,Stomach Cancer,neoplastic,endoscopy||biopsy||imaging,vomiting blood||passing black tar-like stools||indigestion||heartburn,surgery||radiotherapy||chemotherapy||biological_therapy||dietary_intervention,
disease_58,Plaque Psoriasis,inflammatory,clinical_evaluation||biopsy,loss of granular layer||thickened stratum corneum,,
disease_59,Tuberculosis,infectious||inflammatory,laboratory_test||imaging,prolonged cough||coughing up blood,,
disease_60,Parasitic Infections (Tapeworm),infectious||parasitic,,gastrointestinal disturbances||abdominal pain||nausea||vomiting||dizziness||headache||fever||hair loss,oral_medication,
disease_61,Systemic Lupus Erythematosus||SLE,autoimmune||inflammatory,clinical_evaluation,rash||fever||mouth ulcer||weight loss,oral_medication||injection||surgery||lifestyle_modification||dietary_intervention||physical_therapy,chronic_condition||disability||quality_of_life_impairment||variable
disease_62,Metastatic Colorectal Cancer||mCRC,neoplastic,,fatigue,oral_medication||chemotherapy||lifestyle_modification,
disease_63,Acute Bacterial Prostatitis,infectious||inflammatory,,fever||chills||body aches||back pains||urination problems,oral_medication,
disease_64,Secondary Peritonitis,inflammatory,,,surgery,high_mortality
disease_65,Opioid Use Disorder,,,,oral_medication||injection,
disease_66,Essential Hypertension,,,,dietary_intervention,stable
disease_67,Huntington's disease||Huntington's Chorea,genetic||degenerative||psychiatric,,movement disorders||behavioral changes||psychiatric disorders||low movements of eye||muscle stress||communication difficulties||loss of confidence||difficulty with simple tasks||change in attitude||loss of interest||loss of sexual desire||learning difficulties||sadness||forced smile||loss of energy||fatigue,oral_medication||lifestyle_modification,incurable||progressive||quality_of_life_impairment
disease_68,Heart Murmur,,clinical_evaluation,chest pain||faintness||fainting||dizziness||palpitations||leg swelling||weakness||fatigue||shortness of breath during exertion,oral_medication||surgery,
disease_69,Charcot Neuropathic Osteoarthropathy,metabolic||degenerative||inflammatory||traumatic||vascular||idiopathic,clinical_evaluation||imaging||biopsy||laboratory_test,swollen foot||warm foot||erythema||pain||increased foot size||oedema||hyperthermia||reduced sensation||pallanaesthesia,physical_therapy||surgery||lifestyle_modification||others,high_mortality||disability||progressive||quality_of_life_impairment||variable
disease_70,HIV-1 Infection,infectious,laboratory_test,,oral_medication,
disease_71,Celiac Disease,genetic||autoimmune,clinical_evaluation,headache||stomachache||fatigue||swelling||bruising in the gut||trouble digesting food||diarrhea||bloating||indigestion||difficulties breathing||difficulty swallowing||difficulty moving arms or legs,dietary_intervention||oral_medication,
disease_72,Rabies,infectious||inflammatory,laboratory_test||clinical_evaluation,hydrophobia||fever||headache||sore throat||pain while drinking water,injection,high_mortality||severe neurological complications
disease_73,Human African Trypanosomiasis (Sleeping Sickness),infectious||parasitic,,fever||headaches||joint pains||itching||disruption of sleep/wake patterns,oral_medication||injection,progressive||high_mortality
disease_74,Diabetic Peripheral Neuropathy,metabolic||vascular,clinical_evaluation||screening,neuropathic pain,oral_medication||physical_therapy,chronic_condition
disease_75,Crohn's disease,inflammatory,,diarrhea||stomach pain||cramps||fatigue||bloody stools||mouth sores||weight loss||joint pain||back pain||changes in vision||fever,oral_medication,chronic_condition||remission_possible
disease_76,Osteoarthritis,,,,,
disease_77,Advanced Breast Cancer,neoplastic,,hot flashes||nausea||asthenia||pain||headache||back pain||bone pain||increased cough||dyspnea||pharyngitis||peripheral edema,oral_medication,
disease_78,Alzheimer's Disease,degenerative,clinical_evaluation,short term memory impairment||word finding problems||direction finding problems||repetitive questions||difficulty managing familiar tasks,oral_medication,chronic_condition||progressive||quality_of_life_impairment
disease_79,Cancer,neoplastic,,,chemotherapy,high_mortality
disease_80,Sinus Migraine,inflammatory||idiopathic||others,clinical_evaluation,nasal congestion||tearing of the eyes||runny nose||ear pain||ear pressure||dizziness||head pain||nausea||light sensitivity||sound sensitivity||smell sensitivity||pressure across the forehead||pain behind the eyes||pain behind the nose||pain beneath the cheeks,oral_medication,
disease_81,Major Depressive Disorder,psychiatric,clinical_evaluation,depressed mood||irritability||forgetfulness||impatience||lethargy||neglect self-care||complain bitterly,psychotherapy||oral_medication,high_recurrence_risk
disease_82,Peripheral Arterial Disease||Atherosclerotic Peripheral Arterial Disease||Arm Artery Disease||Circulation Problems||Leg Artery Disease,vascular||degenerative,clinical_evaluation||screening||laboratory_test||imaging||functional_test,intermittent claudication||pain when walking||pain when climbing stairs||pain||numbness||aching||heaviness in muscles||cramping in legs||cramping in thighs||cramping in calves||cramping in feet||weak pulse in legs||absent pulse in legs||sores on toes||sores on feet||sores on legs||slow wound healing||poor wound healing||color changes in skin||paleness||cyanosis||decreased temperature in one leg||poor nail growth||decreased hair growth on toes||decreased hair growth on legs||erectile dysfunction,lifestyle_modification||oral_medication||surgery||others,chronic_condition||disability||quality_of_life_impairment||progressive
disease_83,Cystoid Macular Edema,inflammatory,imaging||clinical_evaluation,reduced vision,oral_medication||injection||surgery,chronic_condition||remission_possible||high_recurrence_risk||quality_of_life_impairment||variable
disease_84,Preeclampsia,vascular||inflammatory||idiopathic,clinical_evaluation||laboratory_test,high blood pressure||proteinuria||swelling of feet||swelling of hands||edema||headache||abdominal pain||reduced urination,oral_medication||injection||lifestyle_modification||dietary_intervention,variable||high_mortality
disease_85,Acute Intermittent Porphyria,genetic||metabolic,laboratory_test||genetic_testing||clinical_evaluation,abdominal pain||vomiting||hypertension||tachycardia||nausea||constipation||diarrhoea||abdominal distension||cardiac arrhythmias||urinary retention||numbness||tingling||burning sensations||motor impairment||respiratory failure||seizures||irritability||depression||anxiety||insomnia||hallucinations||paranoia||disorientation||altered consciousness||weakness,injection||oral_medication||dietary_intervention||lifestyle_modification||surgery,variable||full_recovery||high_recurrence_risk||asymptomatic
disease_86,Psoriatic Arthritis||PsA,autoimmune||inflammatory,clinical_evaluation||laboratory_test||imaging||screening,joint stiffness||joint pain||joint swelling||fatigue,oral_medication||injection||lifestyle_modification||dietary_intervention,chronic_condition||quality_of_life_impairment||variable
disease_87,Bell's palsy,idiopathic||inflammatory||infectious_viral,imaging||clinical_evaluation||laboratory_test||functional_test,acute peripheral facial paralysis||facial weakness,oral_medication||injection,full_recovery||partial_recovery||variable
disease_88,Sarcopenia,degenerative||nutritional||endocrine||inflammatory,clinical_evaluation||functional_test||imaging,decline in muscle mass||decline in muscle strength||decline in muscle function||bone fractures||difficulty standing||difficulty walking||body pains||balance maintenance issues||diminished life span||fear of injury||reluctance to venture away from home||isolation||avoidance||anxiety||depression||difficulty caring for self||difficulty driving||difficulty shopping||difficulty bathing||difficulty dressing||difficulty completing household chores,physical_therapy||lifestyle_modification||dietary_intervention||oral_medication,partial_recovery||chronic_condition||progressive||quality_of_life_impairment||variable
disease_89,Advanced Non-Small Cell Lung Cancer||advanced non-small–cell lung cancers||NSCLC||non-small cell lung cancer||non-squamous NSCLCs||squamous NSCLCs,neoplastic||inflammatory,clinical_evaluation||laboratory_test||imaging,,injection||chemotherapy||immunotherapy,high_mortality||variable||progressive||quality_of_life_impairment
disease_90,Peritonitis,infectious||inflammatory,clinical_evaluation||laboratory_test,generalized abdominal pain||decreased appetite||left chest pain||pressure||tenderness||positive rebound,injection,
disease_91,Atrial Fibrillation,vascular||degenerative,,,oral_medication,disability||high_mortality||quality_of_life_impairment
disease_92,Primary Biliary Cholangitis,,laboratory_test||imaging||biopsy,itch,oral_medication,
disease_93,Drug Resistant Tuberculosis (DR TB),infectious,laboratory_test||clinical_evaluation,cough||weakness,oral_medication,full_recovery||high_mortality
disease_94,Sinus Infection,,,Yellow drainage||jaw pain||tooth pain||sensitivity to cold fluids,oral_medication,
disease_95,Premenstrual Syndrome,,,,,
disease_96,Hypertension,vascular,,,lifestyle_modification||dietary_intervention,
disease_97,Gut Microbiome Imbalance,iatrogenic||infectious||nutritional||others,clinical_evaluation,bloating||gas||diarrhoea||stomach pain||nausea,lifestyle_modification||dietary_intervention,full_recovery||chronic_condition
disease_98,Benign Prostatic Hypertrophy (BPH),,,increased urinary frequency,oral_medication||surgery,
disease_99,Leptospirosis,infectious,clinical_evaluation||laboratory_test,vomiting||fever||abdominal tenderness||diarrhea||diminished appetite||physical weakness,oral_medication,variable
