query_id,query_text,nl_query,success,delta_type,latency_s,result_rows,prompt_tokens,completion_tokens,total_tokens,macro_f1,macro_precision,macro_recall,gt_result_count,matched_rows,is_agg,relative_error,error
A1,"SELECT position, MIN(olympic_gold_medals) AS min_olympic_gold_medals FROM player GROUP BY position","For each NBA player, what is their playing position and how many Olympic gold medals have they won?",True,PZ,117.59379768371582,19,317405,9472,326877,,,,3,,True,1.0,
A3,"SELECT position, AVG(age) AS avg_age FROM player GROUP BY position","For each NBA player, what is their playing position and age?",True,PZ,209.7251260280609,32,367983,19886,387869,,,,3,,True,1.0,
J1,"SELECT team.championship, team.location, player.age, player.olympic_gold_medals FROM player JOIN team ON player.team = team.team_name","For each NBA player, what is their age, how many Olympic gold medals have they won, which team do they play for, how many championships has that team won, and where is the team based?",True,PZ,217.51975464820862,53,485409,18599,504008,0.0,0.0,0.0,88,0,False,,
J2,"SELECT team.founded_year, team.team_name, player.name, player.team FROM player JOIN team ON player.team = team.team_name","For each NBA player, what is their name, which team do they currently play for, and when was that team founded?",True,PZ,203.53173828125,75,480310,18423,498733,0.647239263803681,0.7033333333333334,0.5994318181818182,88,62,False,,
M1,"SELECT player.position, MIN(player.olympic_gold_medals) AS min_player_olympic_gold_medals FROM player JOIN team ON player.team = team.team_name GROUP BY player.position","For each NBA player, what is their playing position and how many Olympic gold medals have they won? Also note which team they play for.",False,ERROR,171.35400938987732,0,0,0,0,0.0,0.0,0.0,0,0,False,,Execution failed
M2,"SELECT player.position, MIN(player.olympic_gold_medals) AS min_player_olympic_gold_medals FROM player JOIN team ON player.team = team.team_name JOIN owner ON team.ownership = owner.name JOIN city ON team.location = city.city_name GROUP BY player.position","For each NBA player, what is their playing position, how many Olympic gold medals have they won, which team do they play for, who owns the team, and what city is the team in?",True,PZ,256.57865166664124,0,622070,21385,643455,,,,2,,True,1.0,
M4,"SELECT nationality, SUM(age) AS sum_age FROM owner WHERE age != 76 AND nba_team != 'Houston Rockets' GROUP BY nationality","For each NBA team owner, what is their nationality and age?",True,PZ,18.653491735458374,2,33363,1724,35087,,,,3,,True,0.3565426170468187,
M5,"SELECT nationality, COUNT(*) AS count_all FROM player WHERE name = 'Antonius Cleveland' OR nba_championships >= 0 GROUP BY nationality","For each NBA player, what is their name, nationality, and how many NBA championships have they won?",True,PZ,160.99485850334167,21,354657,14548,369205,,,,23,,True,0.7339130434782609,
M9,"SELECT player.nationality, MIN(player.olympic_gold_medals) AS min_player_olympic_gold_medals FROM player JOIN team ON player.team = team.team_name WHERE player.fiba_world_cup > 0 GROUP BY player.nationality","For each NBA player, what is their nationality, how many Olympic gold medals have they won, and which team do they play for?",False,ERROR,257.3209002017975,0,0,0,0,0.0,0.0,0.0,0,0,False,,Execution failed
M10,"SELECT owner.nationality, MAX(player.mvp_awards) AS max_player_mvp_awards FROM player JOIN team ON player.team = team.team_name JOIN owner ON team.ownership = owner.name JOIN city ON team.location = city.city_name WHERE city.population < 1603797 OR team.location != 'Minneapolis' GROUP BY owner.nationality","For each NBA player, what is their nationality, how many MVP awards have they won, who owns their team, and what city does the team play in?",True,PZ,277.26865005493164,1,630885,23941,654826,,,,1,,True,1.0,
M21,"SELECT nationality, MIN(age) AS min_age FROM owner WHERE nba_team != 'Cleveland Cavaliers' GROUP BY nationality","For each NBA team owner, what is their nationality and age?",True,PZ,18.780160903930664,2,33363,1709,35072,,,,3,,True,0.3333333333333333,
M27,"SELECT team, MIN(olympic_gold_medals) AS min_olympic_gold_medals FROM player WHERE draft_pick < 1 GROUP BY team","For each NBA player, which team do they play for, what was their draft pick, and how many Olympic gold medals have they won?",True,PZ,193.778790473938,2,357116,17930,375046,,,,29,,True,0.9310344827586207,
M28,"SELECT nationality, SUM(olympic_gold_medals) AS sum_olympic_gold_medals FROM player WHERE nationality = 'German' AND olympic_gold_medals <= 0 GROUP BY nationality","For each NBA player, what is their nationality and how many Olympic gold medals have they won?",True,PZ,124.11745095252991,1,319313,10620,329933,,,,1,,True,0.0,
M33,"SELECT player.draft_pick, team.team_name, player.fiba_world_cup, team.location FROM player JOIN team ON player.team = team.team_name WHERE player.fiba_world_cup > 0","For each NBA player, what was their draft pick number, how many FIBA World Cup titles have they won, which team do they play for, and where is that team based?",True,PZ,255.97518396377563,13,610128,23068,633196,0.0,0.0,0.0,16,0,False,,
M34,"SELECT owner.age, team.founded_year, player.name, city.city_name FROM player JOIN team ON player.team = team.team_name JOIN owner ON team.ownership = owner.name JOIN city ON team.location = city.city_name WHERE player.birth_date > '1994/2/2' AND city.population > 715522","For each NBA player, what is their name, which team do they play for, who owns that team, how old is the owner, when was the team founded, and in which city does the team play?",False,ERROR,307.9147353172302,0,0,0,0,0.0,0.0,0.0,0,0,False,,Execution failed
