Name,topic,uses_knowledge_graph,reasoning_depth,baseline,retrieval_method,generator_model,uses_reranker,data_modality,evaluation_dataset,evaluation_metric,application_domain,use_agent,agent_framework
2406.05870v4_Machine-Against-the-RAG-Jamming-Retrieval-Augmented-Generation-with-Blocker-Documents.pdf,Retrieval-Augmented Generation,No,single-hop,Instruction Injection; Oracle Generated; Genetic Similarity; Genetic Likelihood,Dense Retrieval,Llama-2 (7B; 13B); Llama-3.1 (8B; 70B; 405B); Vicuna (7B; 13B); Mistral (7B); GPT-4o (mini; regular); Gemini-1.5 (Pro; Flash); Claude-3.5 (Haiku; Sonnet),No,Text,Natural Questions (NQ); MS-MARCO,Jamming Rate; Retrieval Accuracy; Collateral Damage,General,No,
2406.06577v1_RAG-based-Crowdsourcing-Task-Decomposition-via-Masked-Contrastive-Learning-with-Prompts.pdf,Retrieval-Augmented Generation,No,single-hop,SCCL; SS-VQ-VAE; BERT-MCL-Base; BERT-MCL-Large,Dense Retrieval,BERT-Base; BERT-Large,No,Text,ACE 2005; FewEvent,F1-Seen; F1-Unseen; NMI; FM; P; R; F1,Manufacturing,No,
2406.07348v3_DR-RAG-Applying-Dynamic-Document-Relevance-to-Retrieval-Augmented-Generation-for-Question-Answering.pdf,Retrieval-Augmented Generation,No,multi-hop,,,,No,Text,HotpotQA; 2Wiki; MuSiQue,,,No,
2406.11147v3_Vul-RAG-Enhancing-LLM-based-Vulnerability-Detection-via-Knowledge-level-RAG.pdf,Retrieval-Augmented Generation,No,single-hop,Basic prompt; CoT-1; CoT-2; CWE-enhanced; Code-based RAG; LLMAO,Sparse Retrieval,GPT-4o; Claude Sonnet 3.5; Qwen2.5-Coder-32B-Instruct; DeepSeek-V2-Instruct; DeepSeek-R1; GPT-3.5-turbo-0125,Yes,Text; Code,PairVul; Linux kernel,pairwise accuracy; Balanced Recall; Balanced Precision,Software Security,No,CoT
2406.11424v1_Evaluating-the-Efficacy-of-Open-Source-LLMs-in-Enterprise-Specific-RAG-Systems-A-Comparative-Study-o.pdf,Retrieval-Augmented Generation,No,single-hop,GPT-3.5,Hybrid Retrieval,Llama3-8B; mistral8x7B,No,Text,Custom dataset from i-venture.org,ROUGE; Contextual Precision; Contextual Recall; Contextual Relevancy; Answer Relevancy; Time; Cosine similarity; Unigram Precision; Unigram Recall; Cosine similarity with ground truth answer (CSGA),General,No,
2406.11497v3_CrAM-Credibility-Aware-Attention-Modification-in-LLMs-for-Combating-Misinformation-in-RAG.pdf,Retrieval-Augmented Generation,No,single-hop,Naive RAG; Prompt Based; Exclusion; CAG,Dense Retrieval,Llama2-13B; Llama3-8B; Qwen1.5-7B,Yes,Text,Natural Questions; TriviaQA,EM; F1 score,General,No,
2406.14773v2_Mitigating-the-Privacy-Issues-in-Retrieval-Augmented-Generation-RAG-via-Pure-Synthetic-Data.pdf,Retrieval-Augmented Generation,No,single-hop,Paraphrase; ZeroGen; AttrPrompt; 0-shot; Origin,Dense Retrieval,Llama3-8b-chat; GPT-3.5-turbo,No,Text,HealthcareMagic-101; Natural Questions (NQ); Trivia QA (TQA); Web Questions (WQ); CuratedTrec (CT); PopQA,ROUGE-L; BLEU-1; EM; Correctness; Target info; Repeat prompts; ROUGE prompt; Repeat context; ROUGE context,Medical; General,Yes,Multi-Agent Collaboration
2406.14972v1_A-Tale-of-Trust-and-Accuracy-Base-vs-Instruct-LLMs-in-RAG-Systems.pdf,Retrieval-Augmented Generation,No,single-hop,Llama 2 7B-Chat; Llama 3 8B-Instruct; Falcon 7B-Instruct; Mistral 7B-Instruct,Dense Retrieval,Llama 2 7B; Llama 2 7B-Chat; Llama 3 8B; Llama 3 8B-Instruct; Falcon 7B; Falcon 7B-Instruct; Mistral 7B; Mistral 7B-Instruct,No,Text,Natural Questions (NQ-open); TriviaQA-unfiltered,Accuracy; rejection rate,General,No,
2406.16167v1_FS-RAG-A-Frame-Semantics-Based-Approach-for-Improved-Factual-Accuracy-in-Large-Language-Models.pdf,Retrieval-Augmented Generation,No,multi-hop,RAKE Search; GPT-4 Search,other,,No,Text,Entailment Bank,Recall@k,Science Education,No,
2407.00978v2_Hybrid-RAG-empowered-Multi-modal-LLM-for-Secure-Data-Management-in-Internet-of-Medical-Things-A-Diff.pdf,Retrieval-Augmented Generation,No,single-hop,DRL-based schemes,Hybrid Retrieval,LLaVA-Med; GPT-4o,Yes,Text; Image,,Responsive Artificial Intelligence (RAI); Semantic Similarity (SS); relative LLM score,Medical; Healthcare,Yes,Other
2407.09252v3_Context-Embeddings-for-Efficient-Answer-Generation-in-RAG.pdf,Retrieval-Augmented Generation,No,multi-hop,RAG (no compression); Closed Book (without context); Autocompressor; ICAE; xRAG,Sparse Retrieval,Mistral-7B-Instruct-v0.2,Yes,Text,Natural Questions; TriviaQA; HotpotQA; ASQA; PopQA,EM; Match; Rouge-L,General,No,
2407.10670v1_Enhancing-Retrieval-and-Managing-Retrieval-A-Four-Module-Synergy-for-Improved-Quality-and-Efficiency.pdf,Retrieval-Augmented Generation,No,multi-hop,Direct; Rewriter-Retriever-Reader,Web Search,GPT-3.5-turbo-0613,No,Text,Natural Questions (NQ); PopQA; AmbigNQ; 2WikiMQA; HotPotQA; CAmbigNQ,F1 Score; Hit Rate,General,No,
2407.12216v2_Mindful-RAG-A-Study-of-Points-of-Failure-in-Retrieval-Augmented-Generation.pdf,Retrieval-Augmented Generation,Yes,multi-hop,KAPING; Retrieve-Rewrite-Answer (RRA); Reasoning on Graphs (RoG); StructGPT,Graph-based Retrieval,GPT-3.5,Yes,Text,WebQSP; MetaQA,"['Hits@k', 'Hits@1', 'Exact Match (EM)']",General; Movie,No,
2407.18553v2_REAPER-Reasoning-based-Retrieval-Planning-for-Complex-RAG-Systems.pdf,Retrieval-Augmented Generation,No,multi-hop,Claude-Sonnet; Roberta ensemble; Mistral-7B-Instruct-v0.2,Dense Retrieval,,No,Text,Custom dataset (600 queries),Accuracy; Precision; Recall; F1-score; Tool Accuracy; Argument Accuracy; Instruction following,Retail,No,CoT
2407.19794v2_Introducing-a-new-hyper-parameter-for-RAG-Context-Window-Utilization.pdf,Retrieval-Augmented Generation,No,single-hop,,Dense Retrieval,Llama3-70B-Instruct; Mixtral-8x7B-Instruct-v0.1; Mistral Large,No,Text,"Custom datasets from Wikipedia articles, legal documents, and research papers",semantic similarity score,General; Legal; Academic,No,
2407.19994v3_A-Study-on-the-Implementation-Method-of-an-Agent-Based-Advanced-RAG-System-Using-Graph.pdf,Retrieval-Augmented Generation,No,multi-hop,,Dense Retrieval; Web Search,OpenAI GPT-4-turbo,No,Text; Table,,,Corporate Services,Yes,Other
2408.01462v1_Faculty-Perspectives-on-the-Potential-of-RAG-in-Computer-Science-Higher-Education.pdf,Retrieval-Augmented Generation,No,single-hop,,,Gemini,No,Text; Image; Code,,"['Likert scale ratings', 'Yes/No questions', 'acceptance rate', 'agreement']",Education,No,
2408.04870v5_ConfusedPilot-Confused-Deputy-Risks-in-RAG-based-LLMs.pdf,Retrieval-Augmented Generation,No,single-hop,,Dense Retrieval,,No,Text,HotpotQA,time delay; effective time window,General,No,
2408.05933v1_Optimizing-RAG-Techniques-for-Automotive-Industry-PDF-Chatbots-A-Case-Study-with-Locally-Deployed-Ol.pdf,Retrieval-Augmented Generation,No,multi-hop,Naive RAG; Self-RAG Agent,Hybrid Retrieval,Ollama,Yes,Text; Table; Image,QReCC; CoQA; self-constructed automotive industry dataset,Context Precision; Faithfulness; Answer Relevancy; Context Recall,Automotive,Yes,Other
2408.06272v1_A-RAG-Based-Question-Answering-Solution-for-Cyber-Attack-Investigation-and-Attribution.pdf,Retrieval-Augmented Generation,No,single-hop,GPT-3.5; GPT-4o,Dense Retrieval,Mistral-7B; Llama; Zephyr,No,Text,Custom QA dataset (from AttackER dataset),faithfulness; answer relevancy; context precision; context recall; context entity recall; context relevancy; answer similarity; answer correctness,Cybersecurity,No,
2408.07611v2_WeKnow-RAG-An-Adaptive-Approach-for-Retrieval-Augmented-Generation-Integrating-Web-Search-and-Knowle.pdf,Retrieval-Augmented Generation,Yes,multi-hop,,,llama-3-70b-instruct-awq,Yes,"['Text', 'Table']",CRAG,Accuracy; Hallucination; Missing; Score,"Finance, Sports, Music, Movie, Open-domain",Yes,Other
2408.08535v1_CommunityKG-RAG-Leveraging-Community-Structures-in-Knowledge-Graphs-for-Advanced-Retrieval-Augmented.pdf,Retrieval-Augmented Generation,Yes,multi-hop,No Retrieval; Semantic Retrieval; Knowledge-Augmented language model PromptING (KAPING),Graph-based Retrieval; Dense Retrieval,LLaMa2 7B; LLaMa3 8B,Yes,Text,MOCHEG,Accuracy,General,No,
2408.09199v1_TC-RAGTuring-Complete-RAGs-Case-study-on-Medical-LLM-Systems.pdf,Retrieval-Augmented Generation,Yes,multi-hop,Base; CoT; SR-RAG; FL-RAG; FS-RAG; CoK; SuRe; HyKGE; ReACT; Self-RAG; FLARE; DRAGIN,Graph-based Retrieval; Dense Retrieval; Web Search,Qwen-32B,No,Text; Table,MMCU-Medical; CMB-Exam; CMB-Clin,EM; ROUGE; BLEU-1; BLEU-4,Medical; Healthcare,Yes,Other
2408.12003v2_RAG-Optimized-Tibetan-Tourism-LLMs-Enhancing-Accuracy-and-Personalization.pdf,Retrieval-Augmented Generation,No,single-hop,Fine-tuned ChatGLM3-6b; Fine-tuned Baichuan2-7b; Fine-tuned Qwen-7b-chat; Fine-tuned Llama3-8b,Sparse Retrieval; Dense Retrieval,ChatGLM3-6b; Baichuan2-7b; Qwen-7b-chat; Llama3-8b,No,Text,Custom Tibetan tourism dataset,Fluency; Accurate Rate; Relevance; Overall Score; BERTscore; avg hit count; avg hit rate,Tourism,No,
2409.11242v4_Measuring-and-Enhancing-Trustworthiness-of-LLMs-in-RAG-through-Grounded-Attributions-and-Learning-to.pdf,Retrieval-Augmented Generation,No,single-hop,ICL; PostCite; PostAttr; Self-RAG; FRONT,Dense Retrieval,"LLaMA series (LLaMA-2-7b, LLaMA-2-13b, LLaMA-3-8b); Qwen series (Qwen-2.5-0.5b, Qwen-2.5-7b); Phi3.5-mini",No,Text,ASQA; QAMPARI; ELI5; ExpertQA,TRUST-SCORE; F1_AC; F1_GR; F1_GC; Answered Ratio (AR %); Citation Recall; Citation Precision,General,No,
2409.11279v1_P-RAG-Progressive-Retrieval-Augmented-Generation-For-Planning-on-Embodied-Everyday-Task.pdf,Retrieval-Augmented Generation,No,multi-hop,HiTUT; HLSM; E.T.; M-TRACK; LLM-Planer; Saycan; GPT-4; GPT-3.5; PPO,Dense Retrieval,GPT-4; GPT-3.5,No,Text; Image,MINI-BEHAVIOR; ALFRED,SR; SPL,Robotics,Yes,Other
2409.13992v1_SMART-RAG-Selection-using-Determinantal-Matrices-for-Augmented-Retrieval.pdf,Retrieval-Augmented Generation,No,multi-hop,BGE; CONTRIEVER; AGGLOMERATIVECLUSTERING; GREEDY; MMR; NMF; SPECTRALCLUSTERING; TEXTRANK; LEXRANK; RANDOM,Dense Retrieval,Llama3-8b-instruct,Yes,Text,NaturalQuestions (NQ); TriviaQA (TQA); HotpotQA; FEVER; FOOL ME TWICE (FM2),EM; F1; Accuracy,General,No,
2409.15566v1_GEM-RAG-Graphical-Eigen-Memories-For-Retrieval-Augmented-Generation.pdf,Retrieval-Augmented Generation,No,multi-hop,standard RAG method; RAPTOR,Graph-based Retrieval,UnifiedQA; GPT-3.5 Turbo,No,Text,QuALITY; Qasper,Acc; HARD Acc; F1,General,No,
2409.18313v5_Embodied-RAG-General-Non-parametric-Embodied-Memory-for-Retrieval-and-Generation.pdf,Retrieval-Augmented Generation,Yes,multi-hop,Naive-RAG; GraphRAG; LightRAG,Graph-based Retrieval,GPT-4o; GPT-4,Yes,Text; Image,Embodied-Experiences Dataset,"P(Q|A); P(Q|A,L); SS(A,A_e)",Robotics,Yes,ToT
2409.20042v2_Beyond-Scores-A-Modular-RAG-Based-System-for-Automatic-Short-Answer-Scoring-with-Feedback.pdf,Retrieval-Augmented Generation,No,single-hop,majority class classifier; T5:finetune; Llama2:finetune,Dense Retrieval,Mistral:7b; Mixtral:8x22b; Llama3:8b; Llama3:70b,No,Text,Short Answer Feedback (SAF) Dataset,Accuracy; F1; RMSE; BLEU; ROUGE; BERTScore; Clarity,Education,No,
2410.01782v1_Open-RAG-Enhanced-Retrieval-Augmented-Reasoning-with-Open-Source-Large-Language-Models.pdf,Retrieval-Augmented Generation,No,multi-hop,Llama2-7B; Llama2-13B; SAIL-7B; Alpaca-7B; Alpaca-13B; ChatGPT; CoVE65B; RAG-ChatGPT; RAG2.0; RAG-Command R+; RQ-RAG; Perplexity.ai; Self-RAG; LongChat-13B,Hybrid Retrieval,Llama2-7B; Llama2-13B,No,Text,PopQA; TriviaQA-unfiltered; PubHealth; Bio; ALCE-ASQA; HotpotQA; MuSique-Ans; 2WikiMultihopQA,Accuracy; FactScore; str-em; MAUVE; EM; F1,General; Public Health,No,
2410.05983v1_Long-Context-LLMs-Meet-RAG-Overcoming-Challenges-for-Long-Inputs-in-RAG.pdf,Retrieval-Augmented Generation,No,multi-hop,Gemma-2-9B-Chat w. RAG; Mistral-Nemo-12B-Instruct w. RAG; Gemini-1.0-Pro w. RAG; Direct SFT,Sparse Retrieval; Dense Retrieval,Gemma-7B-Chat; Gemma-2-9B-Chat; Mistral-Nemo-12B-Instruct; Gemini-1.5-pro; Gemma-2-9B-Base; Mistral-Nemo-12B-Base; Gemini-1.0-Pro,Yes,['Text'],Natural Questions (NQ); PopQA; TriviaQA; HotpotQA; 2wikimultihopqa; Webquestions; Bamboogle; ASQA; T-REx; zsRE,Accuracy,General,No,
2410.10136v1_Beyond-RAG-Question-Identification-and-Answer-Generation-in-Real-Time-Conversations.pdf,Retrieval-Augmented Generation,No,single-hop,,Dense Retrieval,Claude-3-Haiku,No,Text,Private dataset of historical call transcripts,,Customer Service,Yes,Multi-Agent Collaboration
2410.13293v2_SBI-RAG-Enhancing-Math-Word-Problem-Solving-for-Students-through-Schema-Based-Instruction-and-Retrie.pdf,Retrieval-Augmented Generation,No,multi-hop,GPT-4; GPT-3.5 Turbo,Dense Retrieval,Llama 3.1,Yes,Text,GSM8K,reasoning score; accuracy; precision; recall; F1; paired sample t-test; Clarity; Logical Progression; Completeness; Total Rating,Education,No,
2410.13339v2_Probing-RAG-Self-Probing-to-Guide-Language-Models-in-Selective-Document-Retrieval.pdf,Retrieval-Augmented Generation,No,multi-hop,No Retrieval; Single-step Approach; LLM-based approach; FLARE; DRAGIN; Adaptive RAG,Sparse Retrieval,Gemma-2b; Mistral-7b,No,Text,NaturalQA (NQ); TriviaQA; HotpotQA; MuSiQue; 2WikimultihopQA (2Wiki),EM; ACC,General,Yes,CoT
2410.13509v2_RAG-DDR-Optimizing-Retrieval-Augmented-Generation-Using-Differentiable-Data-Rewards.pdf,Retrieval-Augmented Generation,No,multi-hop,LLM w/o RAG; Vanilla RAG; REPLUG; Self-RAG; RA-DIT,Dense Retrieval,Minicpm-2.4B-sft; Llama3-8B-Instruct,Yes,Text,NQ; MARCO QA; TriviaQA; HotpotQA; WoW; T-REx,Rouge-L; F1; Accuracy,General,Yes,Other
2410.13865v1_Classifying-Peace-in-Global-Media-Using-RAG-and-Intergroup-Reciprocity.pdf,Retrieval-Augmented Generation,No,multi-hop,,Dense Retrieval,,No,"['Text', 'Table']",News On the Web (NOW),,Peace studies,No,
2410.15944v1_Developing-Retrieval-Augmented-Generation-RAG-based-LLM-Systems-from-PDFs-An-Experience-Report.pdf,Retrieval-Augmented Generation,No,single-hop,,Dense Retrieval,GPT Series; Llama 3.1,No,Text,,,General,Yes,CoT
2410.18104v1_ENWAR-A-RAG-empowered-Multi-Modal-LLM-Framework-for-Wireless-Environment-Perception.pdf,Retrieval-Augmented Generation,No,single-hop,vanilla LLMs; Vanilla Llama,Dense Retrieval,Mistral-7b; Mistral-8x7b; Llama3.1-8b; Llama3.1-70b; Llama3.1-405b,Yes,Image; Text,DeepSense6G,Answer Relevancy; Context Recall; Correctness Score; Faithfulness,Wireless Communication,No,
2410.19572v5_ChunkRAG-Novel-LLM-Chunk-Filtering-Method-for-RAG-Systems.pdf,Retrieval-Augmented Generation,No,multi-hop,LLaMA2-7B; Alpaca-7B; LLaMA2-13B; Alpaca-13B; ChatGPT; LLaMA2-chat13B; RAG + LLaMA2-7B; RAG+ Alpaca-7B; RAG+LLaMA2-13B; RAG+Alpaca-13B; RAG; Self-RAG; CRAG; Self-CRAG,Hybrid Retrieval,LLaMA2-7B,Yes,Text,PopQA; PubHealth; Biography,Accuracy; FactScore,General; Healthcare,No,
2411.02959v2_HtmlRAG-HTML-is-Better-Than-Plain-Text-for-Modeling-Retrieved-Knowledge-in-RAG-Systems.pdf,Retrieval-Augmented Generation,No,multi-hop,BM25; BGE; E5-Mistral; LongLLMLingua; JinaAI Reader,Web Search,Llama-3.1-70B-Instruct; Llama-3.1-8B-Instruct,Yes,Text,ASQA; HotpotQA; NQ; Trivia-QA; MuSiQue; ELI5,EM; Hit@1; ROUGE-L; BLEU,General,No,
2411.07021v2_Invar-RAG-Invariant-LLM-aligned-Retrieval-for-Better-Generation.pdf,Retrieval-Augmented Generation,,single-hop,,Dense Retrieval,LLaMA-2-7B,,Text,TriviaQA; NaturalQuestions; PopQA,Exact Match; Acc@5; Acc@20,General,No,
