disease_name,clinical_info,info_type
Pleural Effusion,oral_medication||other,Treatment
Irritable Bowel Syndrome (IBS),oral_medication||dietary_intervention,Treatment
Diabetes type 1,injection||dietary_intervention||lifestyle_modification,Treatment
Vohwinkel syndrome,oral_medication||surgery,Treatment
Gout,oral_medication||lifestyle_modification||dietary_intervention,Treatment
Lung Cancer,chemotherapy||radiotherapy||surgery,Treatment
Multiple Myeloma,chemotherapy||stem cell transplantation,Treatment
Phantom Limb Pain,physical_therapy||injection||oral_medication||device_implantation,Treatment
Opioid-Induced Constipation,lifestyle_modification||oral_medication||dietary_intervention,Treatment
Rocky Mountain Spotted Fever||RMSF,oral_medication,Treatment
Acute Graft-Versus-Host Disease,injection,Treatment
Pyoderma gangrenosum,oral_medication,Treatment
Asthma,oral_medication||inhaler||dietary_intervention,Treatment
Legionnaires' Disease,oral_medication,Treatment
Antibiotic-associated diarrhea,dietary_intervention,Treatment
Hemophilia B,injection,Treatment
Attention-Deficit Hyperactivity Disorder,oral_medication||psychotherapy||lifestyle_modification,Treatment
Microcytic Anemia,oral_medication||injection||surgery||dietary_intervention||others,Treatment
Birth Control Heart Attack,surgery||drug_therapy||lifestyle_modification||others,Treatment
Urinary Tract Infection,oral_medication,Treatment
Prostate Cancer,surgery||hormone_therapy||chemotherapy,Treatment
Gastroesophageal Reflux Disease||GERD,oral_medication||lifestyle_modification||surgery,Treatment
Thoracic Outlet Syndrome,physical_therapy||oral_medication||surgery,Treatment
Onchocerciasis,oral_medication,Treatment
Opioid Addiction,oral_medication,Treatment
Ear Infections,oral_medication||lifestyle_modification||others,Treatment
Lyme Disease,oral_medication,Treatment
Opiate Dependency,oral_medication||others,Treatment
Duchenne muscular dystrophy,injection||oral_medication,Treatment
Allergic Reactions,oral_medication,Treatment
Poison Oak Rash,oral_medication||others,Treatment
Postpartum Depression and Anxiety,psychotherapy,Treatment
Acute Appendicitis,surgery,Treatment
Influenza,vaccination||oral_medication,Treatment
Diabetes Mellitus,injection||laboratory_test||dietary_intervention||lifestyle_modification,Treatment
Irritable Bowel Syndrome,oral_medication||lifestyle_modification||dietary_intervention||others,Treatment
Low Back Pain,oral_medication||physical_therapy||lifestyle_modification||surgery||injection||dietary_intervention,Treatment
Acne,oral_medication||lifestyle_modification,Treatment
Periodontal Disease,surgery||oral_medication,Treatment
Trigeminal Neuralgia,oral_medication||surgery||physical_therapy||psychotherapy||others,Treatment
Chronic Fatigue Syndrome||myalgic encephalomyelitis,psychotherapy||physical_therapy||lifestyle_modification,Treatment
Anxiety Disorders,oral_medication||psychotherapy||lifestyle_modification||dietary_intervention||regular_exercise||relaxation_techniques||meditation,Treatment
Fibromyalgia,oral_medication||lifestyle_modification||others,Treatment
Idiopathic Intracranial Hypertension,oral_medication,Treatment
Situational Anxiety,oral_medication,Treatment
Immune Reconstitution Syndrome (IRS),oral_medication||injection,Treatment
Heart Failure,oral_medication||surgery,Treatment
COVID-19,oral_medication,Treatment
Stomach Cancer,surgery||radiotherapy||chemotherapy||biological_therapy||dietary_intervention,Treatment
Parasitic Infections (Tapeworm),oral_medication,Treatment
Systemic Lupus Erythematosus||SLE,oral_medication||injection||surgery||lifestyle_modification||dietary_intervention||physical_therapy,Treatment
Metastatic Colorectal Cancer||mCRC,oral_medication||chemotherapy||lifestyle_modification,Treatment
Acute Bacterial Prostatitis,oral_medication,Treatment
Secondary Peritonitis,surgery,Treatment
Opioid Use Disorder,oral_medication||injection,Treatment
Essential Hypertension,dietary_intervention,Treatment
Huntington's disease||Huntington's Chorea,oral_medication||lifestyle_modification,Treatment
Heart Murmur,oral_medication||surgery,Treatment
Charcot Neuropathic Osteoarthropathy,physical_therapy||surgery||lifestyle_modification||others,Treatment
HIV-1 Infection,oral_medication,Treatment
Celiac Disease,dietary_intervention||oral_medication,Treatment
Rabies,injection,Treatment
Human African Trypanosomiasis (Sleeping Sickness),oral_medication||injection,Treatment
Diabetic Peripheral Neuropathy,oral_medication||physical_therapy,Treatment
Crohn's disease,oral_medication,Treatment
Advanced Breast Cancer,oral_medication,Treatment
Alzheimer's Disease,oral_medication,Treatment
Cancer,chemotherapy,Treatment
Sinus Migraine,oral_medication,Treatment
Major Depressive Disorder,psychotherapy||oral_medication,Treatment
Peripheral Arterial Disease||Atherosclerotic Peripheral Arterial Disease||Arm Artery Disease||Circulation Problems||Leg Artery Disease,lifestyle_modification||oral_medication||surgery||others,Treatment
Cystoid Macular Edema,oral_medication||injection||surgery,Treatment
Preeclampsia,oral_medication||injection||lifestyle_modification||dietary_intervention,Treatment
Acute Intermittent Porphyria,injection||oral_medication||dietary_intervention||lifestyle_modification||surgery,Treatment
Psoriatic Arthritis||PsA,oral_medication||injection||lifestyle_modification||dietary_intervention,Treatment
Bell's palsy,oral_medication||injection,Treatment
Sarcopenia,physical_therapy||lifestyle_modification||dietary_intervention||oral_medication,Treatment
Advanced Non-Small Cell Lung Cancer||advanced non-small–cell lung cancers||NSCLC||non-small cell lung cancer||non-squamous NSCLCs||squamous NSCLCs,injection||chemotherapy||immunotherapy,Treatment
Peritonitis,injection,Treatment
Atrial Fibrillation,oral_medication,Treatment
Primary Biliary Cholangitis,oral_medication,Treatment
Drug Resistant Tuberculosis (DR TB),oral_medication,Treatment
Sinus Infection,oral_medication,Treatment
Hypertension,lifestyle_modification||dietary_intervention,Treatment
Gut Microbiome Imbalance,lifestyle_modification||dietary_intervention,Treatment
Benign Prostatic Hypertrophy (BPH),oral_medication||surgery,Treatment
Leptospirosis,oral_medication,Treatment
